choku_crn, year
1950,  0.84
1951,  1.32
1952,  0.95
1953,  0.94
1954,  0.68
1955,  0.89
1956,  1.62
1957,  0.75
1958,  1.14
1959,  0.79
1960,  1.40
1961,  1.30
1962,  0.51
1963,  0.89
1964,  1.07
1965,  1.23
1966,  1.14
1967,  0.98
1968,  1.13
1969,  1.39
1970,  1.13
1971,  1.29
1972,  0.65
1973,  1.53
1974,  1.64
1975,  0.98
1976,  1.37
1977,  1.31
1978,  0.35
1979,  0.37
1980,  0.92
1981,  0.80
1982,  0.84
1983,  1.23
1984,  0.52
1985,  1.12
1986,  1.24
1987,  0.96
1988,  1.35
1989,  0.89
