crn, year, city
1.0, 1975, Chokurdakh
1.4, 1976, Chokurdakh
1.25, 1977, Chokurdakh
0.4, 1978, Chokurdakh
0.48, 1979, Chokurdakh
0.8, 1980, Chokurdakh
0.69, 1981, Chokurdakh
0.71, 1982, Chokurdakh
1.25, 1983, Chokurdakh
0.39, 1984, Chokurdakh
1.1, 1985, Chokurdakh
1.2, 1986, Chokurdakh
1.0, 1987, Chokurdakh
1.3, 1988, Chokurdakh
0.7, 1989, Chokurdakh
