    J           age   Dist      Z            Do          Size             Y   Conc
   60   0.00  42.90  62.21  62.21   0.58   6.46  42.90   6.46   0.00   0.12   0.02
   61   0.00  42.60  67.31  67.31   0.58   6.40  42.60   6.40   0.00   0.12   0.02
   62   0.00  40.20  60.69  60.69   0.58   5.02  40.20   5.02   0.00   0.08   0.02
   63   0.00  48.70 106.60 106.60   0.58   5.77  48.70   5.77   0.00   0.10   0.02
   64   0.00  47.40 103.63 103.63   0.58   5.02  47.40   5.02   0.00   0.07   0.01
   65   0.00  41.80  81.22  81.22   0.58   6.45  41.80   6.45   0.00   0.12   0.02
   66   0.00  41.60  86.48  86.48   0.58   6.45  41.60   6.45   0.00   0.12   0.02
   67   0.00  39.10  76.04  76.04   0.58   5.01  39.10   5.01   0.00   0.08   0.02
   68   0.00  41.30  95.96  95.96   0.58   6.46  41.30   6.46   0.00   0.12   0.02
   69   0.00  38.80  84.64  84.64   0.58   5.02  38.80   5.02   0.00   0.08   0.02
   70   0.00  34.40  68.58  68.58   0.58   7.14  34.40   7.14   0.00   0.13   0.02
   71   0.00  56.00  69.38  69.38   0.58   8.69  56.00   8.69   0.00   0.16   0.02
   72   0.00  50.90  54.23  54.23   0.58   5.78  50.90   5.78   0.00   0.10   0.02
   73   0.00  50.70  59.31  59.31   0.58   5.77  50.70   5.77   0.00   0.10   0.02
   74   0.00  49.40  58.96  58.96   0.58   5.02  49.40   5.02   0.00   0.07   0.01
   75   0.00  50.40  68.88  68.88   0.58   5.78  50.40   5.78   0.00   0.10   0.02
   76   0.00  49.10  67.85  67.85   0.58   5.03  49.10   5.03   0.00   0.07   0.01
   77   0.00  43.50  50.95  50.95   0.58   6.45  43.50   6.45   0.00   0.12   0.02
   78   0.00  49.80  83.28  83.28   0.58   5.77  49.80   5.77   0.00   0.10   0.02
   79   0.00  48.50  81.24  81.24   0.58   5.02  48.50   5.02   0.00   0.07   0.01
   80   0.00  42.90  61.88  61.88   0.58   6.45  42.90   6.45   0.00   0.12   0.02
   81   0.00  42.70  67.47  67.47   0.58   6.45  42.70   6.45   0.00   0.12   0.02
   82   0.00  40.20  60.36  60.36   0.58   5.01  40.20   5.01   0.00   0.08   0.02
   83   0.00  48.80 106.75 106.75   0.58   5.77  48.80   5.77   0.00   0.10   0.02
   84   0.00  47.50 103.78 103.78   0.58   5.03  47.50   5.03   0.00   0.07   0.01
   85   0.00  41.90  81.37  81.37   0.58   6.45  41.90   6.45   0.00   0.12   0.02
   86   0.00  41.70  86.64  86.64   0.58   6.45  41.70   6.45   0.00   0.12   0.02
   87   0.00  39.20  76.19  76.19   0.58   5.01  39.20   5.01   0.00   0.08   0.02
   88   0.00  41.30  95.39  95.39   0.58   6.40  41.30   6.40   0.00   0.12   0.02
   89   0.00  38.90  84.75  84.75   0.58   5.02  38.90   5.02   0.00   0.08   0.02
   90   0.00  34.50  68.68  68.68   0.58   7.15  34.50   7.15   0.00   0.13   0.02
   91   0.00  55.90  68.97  68.97   0.58   8.66  55.90   8.66   0.00   0.16   0.02
   92   0.00  50.90  54.33  54.33   0.58   5.81  50.90   5.81   0.00   0.10   0.02
   93   0.00  50.70  59.42  59.42   0.58   5.77  50.70   5.77   0.00   0.10   0.02
   94   0.00  49.40  58.95  58.95   0.58   5.03  49.40   5.03   0.00   0.07   0.01
   95   0.00  50.40  69.00  69.00   0.58   5.78  50.40   5.78   0.00   0.10   0.02
   96   0.00  49.10  67.95  67.95   0.58   5.03  49.10   5.03   0.00   0.07   0.01
   97   0.00  43.50  51.01  51.01   0.58   6.45  43.50   6.45   0.00   0.12   0.02
   98   0.00  49.80  83.40  83.40   0.58   5.78  49.80   5.78   0.00   0.10   0.02
   99   0.00  48.50  81.35  81.35   0.58   5.03  48.50   5.03   0.00   0.07   0.01
  100   0.00  42.90  61.94  61.94   0.58   6.45  42.90   6.45   0.00   0.12   0.02
  101   0.00  42.70  67.54  67.54   0.58   6.45  42.70   6.45   0.00   0.12   0.02
  102   0.00  40.20  60.43  60.43   0.58   5.01  40.20   5.01   0.00   0.08   0.02
  103   0.00  48.70 106.25 106.25   0.58   5.77  48.70   5.77   0.00   0.10   0.02
  104   0.00  47.40 103.33 103.33   0.58   5.02  47.40   5.02   0.00   0.07   0.01
  105   0.00  41.80  80.93  80.93   0.58   6.44  41.80   6.44   0.00   0.12   0.02
  106   0.00  41.60  86.19  86.19   0.58   6.45  41.60   6.45   0.00   0.12   0.02
  107   0.00  39.10  75.87  75.87   0.58   5.01  39.10   5.01   0.00   0.08   0.02
  108   0.00  41.30  95.67  95.67   0.58   6.46  41.30   6.46   0.00   0.12   0.02
  109   0.00  38.80  84.47  84.47   0.58   5.02  38.80   5.02   0.00   0.08   0.02
  110   0.00  34.40  68.45  68.45   0.58   7.14  34.40   7.14   0.00   0.13   0.02
  111   0.00  55.90  69.26  69.26   0.58   8.68  55.90   8.68   0.00   0.16   0.02
  112   0.00  50.80  54.16  54.16   0.58   5.77  50.80   5.77   0.00   0.10   0.02
  113   0.00  50.60  59.24  59.24   0.58   5.77  50.60   5.77   0.00   0.10   0.02
  114   0.00  49.30  58.88  58.88   0.58   5.02  49.30   5.02   0.00   0.07   0.01
  115   0.00  50.30  68.81  68.81   0.58   5.77  50.30   5.77   0.00   0.10   0.02
  116   0.00  49.00  67.78  67.78   0.58   5.03  49.00   5.03   0.00   0.07   0.01
  117   0.00  43.40  50.92  50.92   0.58   6.45  43.40   6.45   0.00   0.12   0.02
  118   0.00  49.80  83.72  83.72   0.58   5.81  49.80   5.81   0.00   0.10   0.02
  119   0.00  48.40  81.12  81.12   0.58   5.00  48.40   5.00   0.00   0.07   0.01
  120   0.00  42.90  62.22  62.22   0.58   6.46  42.90   6.46   0.00   0.12   0.02
  121   0.00  42.60  67.31  67.31   0.58   6.40  42.60   6.40   0.00   0.12   0.02
  122   0.00  40.20  60.69  60.69   0.58   5.02  40.20   5.02   0.00   0.08   0.02
  123   0.00  48.70 106.60 106.60   0.58   5.77  48.70   5.77   0.00   0.10   0.02
  124   0.00  47.40 103.63 103.63   0.58   5.02  47.40   5.02   0.00   0.07   0.01
  125   0.00  41.80  81.22  81.22   0.58   6.45  41.80   6.45   0.00   0.12   0.02
  126   0.00  41.60  86.48  86.48   0.58   6.45  41.60   6.45   0.00   0.12   0.02
  127   0.00  39.10  76.04  76.04   0.58   5.01  39.10   5.01   0.00   0.08   0.02
  128   0.00  41.30  95.97  95.97   0.58   6.46  41.30   6.46   0.00   0.12   0.02
  129   0.00  38.80  84.65  84.65   0.58   5.02  38.80   5.02   0.00   0.08   0.02
  130   0.00  34.40  68.58  68.58   0.58   7.14  34.40   7.14   0.00   0.13   0.02
  131   0.00  56.00  69.38  69.38   0.58   8.69  56.00   8.69   0.00   0.16   0.02
  132   0.00  50.90  54.23  54.23   0.58   5.78  50.90   5.78   0.00   0.10   0.02
  133   0.00  50.70  59.31  59.31   0.58   5.77  50.70   5.77   0.00   0.10   0.02
  134   0.00  49.40  58.96  58.96   0.58   5.02  49.40   5.02   0.00   0.07   0.01
  135   0.00  50.40  68.88  68.88   0.58   5.78  50.40   5.78   0.00   0.10   0.02
  136   0.00  49.10  67.85  67.85   0.58   5.03  49.10   5.03   0.00   0.07   0.01
  137   0.00  43.50  50.95  50.95   0.58   6.45  43.50   6.45   0.00   0.12   0.02
  138   0.00  49.80  83.28  83.28   0.58   5.77  49.80   5.77   0.00   0.10   0.02
  139   0.00  48.50  81.25  81.25   0.58   5.02  48.50   5.02   0.00   0.07   0.01
  140   0.00  42.90  61.88  61.88   0.58   6.45  42.90   6.45   0.00   0.12   0.02
  141   0.00  42.70  67.47  67.47   0.58   6.45  42.70   6.45   0.00   0.12   0.02
  142   0.00  40.20  60.36  60.36   0.58   5.01  40.20   5.01   0.00   0.08   0.02
  143   0.00  48.80 106.75 106.75   0.58   5.77  48.80   5.77   0.00   0.10   0.02
